report_id,title,description,area,time_of_day,population_density,distance_to_school_km,complaint_age_hours,nearby_open_reports,brightness,edge_density,red_ratio,brown_ratio,green_ratio,blue_ratio,issue_type,severity_score,priority,recommended_team
CP-00001,Pothole near Indiranagar,pothole reported at Indiranagar during morning. traffic jam main road needs attention from city staff.,Indiranagar,morning,0.69,0.16,12,3,57.23,0.553,0.17,0.561,0.392,0.305,Pothole,100,P1 Emergency,Roads team
CP-00002,Broken Lamp near Jayanagar,broken lamp reported at Jayanagar during morning. traffic jam needs attention from city staff.,Jayanagar,morning,0.32,0.38,45,9,26.18,0.116,0.145,0.099,0.509,0.074,Broken Light,89,P1 Emergency,Night safety crew
CP-00003,Road Crack near Indiranagar,road crack reported at Indiranagar during morning.  needs attention from city staff.,Indiranagar,morning,0.89,3.04,49,4,92.55,0.439,0.071,0.671,0.375,0.497,Pothole,89,P1 Emergency,Roads team
CP-00004,Catalog Photo upload,catalog photo image captured at Whitefield during afternoon. Non-civic content without a public infrastructure problem.,Whitefield,afternoon,0.76,3.29,3,0,142.56,0.146,0.274,0.095,0.196,0.22,Unsupported,22,P4 Low,Manual review
CP-00005,Drain Water near Indiranagar,drain water reported at Indiranagar during night. elderly night dangerous needs attention from city staff.,Indiranagar,night,0.32,0.21,15,2,120.39,0.745,0.136,0.06,0.222,0.599,Water Leak,100,P1 Emergency,Water works team
CP-00006,Road Crack near Jayanagar,road crack reported at Jayanagar during morning. main road accident risk needs attention from city staff.,Jayanagar,morning,0.47,0.6,1,4,175.5,0.509,0.157,0.589,0.351,0.592,Pothole,87,P1 Emergency,Roads team
CP-00007,Construction Debris near MG Road,construction debris reported at MG Road during evening. night children urgent needs attention from city staff.,MG Road,evening,0.43,0.88,73,1,33.7,0.488,0.047,0.499,0.426,0.107,Road Block,100,P1 Emergency,Traffic response team
CP-00008,Fallen Tree near Ulsoor,fallen tree reported at Ulsoor during evening. traffic jam needs attention from city staff.,Ulsoor,evening,0.55,2.37,48,7,163.94,0.459,0.092,0.06,0.031,0.397,Road Block,97,P1 Emergency,Traffic response team
CP-00009,Sports Car upload,sports car image captured at Indiranagar during evening. Non-civic content without a public infrastructure problem.,Indiranagar,evening,0.3,3.15,12,0,152.86,0.249,0.264,0.026,0.101,0.159,Unsupported,26,P4 Low,Manual review
CP-00010,Supercar upload,supercar image captured at Koramangala during afternoon. Non-civic content without a public infrastructure problem.,Koramangala,afternoon,0.39,2.77,3,1,65.82,0.372,0.62,0.152,0.213,0.299,Unsupported,23,P4 Low,Manual review
